product_id,product_name,ema_number,patient_safety,authorisation_status,atc_code,additional,generic,conditional,exceptional,accelerated,orphan,authorisation_date,authorisation_holder,therapeutic_group,indication,url,dosage_form,route
0,Nikolas,EMEA/H/C/005267,FALSE,Authorised,H01CC54,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,16/07/2021,Gedeon Richter Plc.,Pituitary and hypothalamic hormones and analogues,"Ryeqo is indicated in adult women of reproductive age for:- treatment of moderate to severe symptoms of uterine fibroids,- symptomatic treatment of endometriosis in women with a history of previous medical or surgical treatment for their endometriosis.",https://www.ema.europa.eu/en/medicines/human/EPAR/ryeqo,Tablet,Oral
1,Teriflunomide Mylan,EMEA/H/C/005962,FALSE,Authorised,L04AA31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,09/11/2022,Mylan Pharmaceuticals Limited,Immunosuppressants,Teriflunomide Mylan is indicated for the treatment of adult patients and paediatric patients aged 10 years and older (body weight > 40 kg) with relapsing remitting multiple sclerosis (MS) (please refer to section 5.1 of the SmPC for important information on the population for which efficacy has been established). ,https://www.ema.europa.eu/en/medicines/human/EPAR/teriflunomide-mylan,Tablet,Oral
2,Corbilta (previously Levodopa/Carbidopa/Entacapone Sandoz),EMEA/H/C/002785,FALSE,Authorised,N04BA03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11/11/2013,Orion Corporation,Anti-Parkinson drugs,Corbilta is indicated for the treatment of adult patients with Parkinson’s disease and end-of-dose motor fluctuations not stabilised on levodopa/dopa decarboxylase (DDC) inhibitor treatment.,https://www.ema.europa.eu/en/medicines/human/EPAR/corbilta,Tablet,Oral
3,Pregabalin Mylan,EMEA/H/C/004078,FALSE,Authorised,N03AX16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,24/06/2015,Mylan Pharmaceuticals Limited,"Antiepileptics, ",Neuropathic painPregabalin Mylan is indicated for the treatment of peripheral and central neuropathic pain in adults.EpilepsyPregabalin Mylan is indicated as adjunctive therapy in adults with partial seizures with or without secondary generalisation.Generalised Anxiety DisorderPregabalin Mylan is indicated for the treatment of Generalised Anxiety Disorder (GAD) in adults.,https://www.ema.europa.eu/en/medicines/human/EPAR/pregabalin-mylan,Hard Capsule,Oral
4,Vocabria,EMEA/H/C/004976,FALSE,Authorised,J05AX,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17/12/2020,ViiV Healthcare B.V.,Antivirals for systemic use,Vocabria tablets are indicated in combination with rilpivirine tablets for the short-term treatment of Human Immunodeficiency Virus type 1 (HIV-1) infection in adults who are virologically suppressed (HIV-1 RNA ,https://www.ema.europa.eu/en/medicines/human/EPAR/vocabria,Prolonged-Release Suspension for Injection,Intramuscular
5,Vocabria,EMEA/H/C/004976,FALSE,Authorised,J05AX,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17/12/2020,ViiV Healthcare B.V.,Antivirals for systemic use,Vocabria tablets are indicated in combination with rilpivirine tablets for the short-term treatment of Human Immunodeficiency Virus type 1 (HIV-1) infection in adults who are virologically suppressed (HIV-1 RNA ,https://www.ema.europa.eu/en/medicines/human/EPAR/vocabria,Tablet,Oral
6,Duaklir Genuair,EMEA/H/C/003745,FALSE,Authorised,R03AL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19/11/2014,Covis Pharma Europe B.V.,"Drugs for obstructive airway diseases, ",Duaklir Genuair is indicated as a maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,https://www.ema.europa.eu/en/medicines/human/EPAR/duaklir-genuair,Powder for Inhalation,Inhalation
7,Eklira Genuair,EMEA/H/C/002211,FALSE,Authorised,R03BB,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20/07/2012,Covis Pharma Europe B.V.,"Drugs for obstructive airway diseases, ",Eklira Genuair is indicated as a maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,https://www.ema.europa.eu/en/medicines/human/EPAR/eklira-genuair,Powder for Inhalation,Inhalation
8,Toviaz,EMEA/H/C/000723,FALSE,Authorised,G04BD11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20/04/2007,Pfizer Europe MA EEIG,Urologicals,Treatment of the symptoms (increased urinary frequency and / or urgency and / or urgency incontinence) that may occur in patients with overactive-bladder syndrome.,https://www.ema.europa.eu/en/medicines/human/EPAR/toviaz,Prolonged-Release Tablet,Oral
9,Exjade,EMEA/H/C/000670,FALSE,Authorised,V03AC03,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,28/08/2006,Novartis Europharm Limited,All other therapeutic products,Exjade is indicated for the treatment of chronic iron overload due to frequent blood transfusions (? 7 ml/kg/month of packed red blood cells) in patients with beta thalassaemia major aged six years and older.Exjade is also indicated for the treatment of chronic iron overload due to blood transfusions when deferoxamine therapy is contraindicated or inadequate in the following patient groups:in patients with beta thalassaemia major with iron overload due to frequent blood transfusions (? 7 ml/kg/month of packed red blood cells) aged two to five years;in patients with beta thalassaemia major with iron overload due to infrequent blood transfusions (< 7 ml/kg/month of packed red blood cells) aged two years and older;in patients with other anaemias aged two years and older.Exjade is also indicated for the treatment of chronic iron overload requiring chelation therapy when deferoxamine therapy is contraindicated or inadequate in patients with non-transfusion-dependent thalassaemia syndromes aged 10 years and older.,https://www.ema.europa.eu/en/medicines/human/EPAR/exjade,Tablet,Oral
